Murder Assault UrbanPop Rape long lad
13.2 236 58 21.2 -86.5923922224596 34.7356758024691
10 263 48 44.5 -168.187470829389 53.3308100550838
8.1 294 80 31 -111.615135530525 36.2463773395062
8.8 190 50 19.5 -92.2404553521374 36.3745018333333
9 276 91 40.6 -120.386475658584 34.034180345679
7.9 204 78 38.7 -105.837605375902 40.1123906851852
3.3 110 77 11.1 -72.7500704191033 41.7653157407408
5.9 238 72 15.8 -75.5734057276619 39.5919031111111
15.4 335 80 31.9 -80.8128505589159 24.8239841227306
17.4 211 60 25.8 -83.4848125832388 34.8044546604938
5.3 46 83 20.2 -166.171539079549 23.7284171581896
2.6 120 54 14.2 -115.25942158465 46.0109290123457
10.4 249 83 24 -89.4736534897358 42.3841872530864
7.2 113 65 21 -86.1259739940181 41.637323308642
2.2 56 57 11.3 -93.5547624934191 43.3672035185185
6 115 66 18 -98.3303635104984 39.8555297623457
9.7 109 52 16.3 -84.6841789112593 38.859923462963
15.4 249 66 22.2 -88.8255873459908 29.8796603709091
2.1 83 51 7.8 -70.1578640420269 43.6900192271536
11.3 300 67 27.8 -76.0527088760855 38.1788128833971
4.4 149 85 16.3 -71.9165613329627 42.5447558209877
12.1 255 74 35.1 -85.5537117162697 45.6625052222222
2.7 72 66 14.9 -94.5945829561728 48.7185493950617
16.1 259 44 17.1 -89.4242207167089 34.6460881388889
9 178 70 28.2 -92.591804221414 40.403672037037
6 109 53 16.4 -109.192907672176 48.4396797777778
4.3 102 62 16.5 -99.9053783224672 42.2346756358025
12.2 252 81 46 -117.034131681386 39.6569722716049
2.1 57 56 9.5 -71.5101267326957 43.6958601450617
7.4 159 89 18.8 -74.638104312308 40.9233455308642
11.4 285 70 32.1 -105.857244341589 36.5294757469136
11.1 254 86 26.1 -73.7699673858154 40.8539188888889
13 337 45 16.1 -79.6107260441304 36.4464627530864
0.8 45 44 7.3 -99.6237594623845 48.6260139475309
7.3 120 75 21.4 -82.8207385186695 41.6527994699955
6.6 151 68 20 -97.5522601607084 36.6829932839506
4.9 159 67 29.3 -121.378793620387 45.3428610617284
6.3 106 72 14.9 -78.0204010573646 41.9217809814815
3.4 174 87 8.3 -71.3834372851514 41.5234845535524
14.4 279 48 22.5 -81.0260661357534 34.888059808642
3.8 86 45 12.8 -99.9036100826851 45.6913540185185
13.2 188 59 26.9 -86.5863271120342 36.4820787993827
12.7 201 80 25.5 -97.1996143438316 27.6294930593335
3.2 120 80 22.9 -111.260921682652 41.3986721296296
2.2 48 32 11.2 -72.7303999097772 44.5024862469136
8.5 156 63 20.7 -76.0240703187518 37.9466637839506
4 145 73 26.2 -123.174473648561 48.6648342044502
5.7 81 39 9.3 -80.627783600124 39.5697930246914
2.6 53 66 10.8 -86.9017926206626 45.3700939324083
6.8 161 60 15.6 -107.365810650813 43.8752936296296
